,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,rev_clusters
53,2004,7117923.0,835464.0,3181009.0,3101450.0,6731212.0,3224647.0,2115629.0,332228.0,829146.0,1
54,2004,3385818.0,423001.0,2430731.0,532086.0,3539569.0,1863515.0,1036279.0,182711.0,362154.0,1
55,2004,60162326.0,6634068.0,31756690.0,21771568.0,62647953.0,29624968.0,17338877.0,3048006.0,9242549.0,0
56,2004,6527456.0,435102.0,2834744.0,3257610.0,6869975.0,3232723.0,2190563.0,245429.0,859189.0,1
57,2004,7276945.0,358769.0,2520724.0,4397452.0,7087023.0,3896977.0,2044339.0,267004.0,587992.0,1
58,2004,1334523.0,104492.0,827110.0,402921.0,1373416.0,709545.0,393664.0,57010.0,158252.0,1
59,2004,1081501.0,167020.0,0.0,914481.0,1087040.0,515377.0,397800.0,36180.0,128227.0,1
60,2004,21623923.0,2174314.0,9593760.0,9855849.0,21896220.0,10411050.0,6317387.0,1298226.0,3365514.0,2
61,2004,14136215.0,1201843.0,6333305.0,6601067.0,13779680.0,7492703.0,3675160.0,659431.0,1767711.0,1
62,2004,2138137.0,236470.0,1850737.0,50930.0,1734591.0,943647.0,544864.0,129740.0,116340.0,1
63,2004,1733838.0,177528.0,1007906.0,548404.0,1744954.0,943113.0,507529.0,72821.0,183197.0,1
64,2004,21082441.0,1752663.0,7265072.0,12064706.0,21681903.0,10829189.0,6608575.0,737667.0,2342761.0,2
65,2004,10423578.0,651058.0,5044543.0,4727977.0,10312694.0,5005025.0,2986672.0,400765.0,913045.0,1
66,2004,4396136.0,353266.0,1953425.0,2089445.0,4443289.0,2256107.0,1236810.0,199965.0,533020.0,1
67,2004,4377709.0,339550.0,2250069.0,1788090.0,3982036.0,2132173.0,1229634.0,174522.0,286696.0,1
68,2004,5135262.0,607212.0,2968391.0,1559659.0,5259909.0,2723672.0,1580235.0,329243.0,499029.0,1
69,2004,5713792.0,785967.0,2740918.0,2186907.0,5708535.0,3137090.0,1743781.0,343543.0,372374.0,1
70,2004,2228749.0,190456.0,870326.0,1167967.0,2291174.0,1304255.0,590947.0,87892.0,189418.0,1
71,2004,9123493.0,581542.0,3436703.0,5105248.0,8921938.0,4963083.0,2673482.0,393663.0,581423.0,1
72,2004,11979937.0,773841.0,4726087.0,6480009.0,12033345.0,6883753.0,3557933.0,356355.0,570871.0,1
73,2004,18663799.0,1425832.0,11129404.0,6108563.0,20060708.0,9094564.0,6332029.0,828829.0,2127866.0,2
74,2004,8688315.0,507014.0,6019336.0,2161965.0,8963393.0,4506036.0,2087673.0,653077.0,1039748.0,1
75,2004,3481643.0,516520.0,1907476.0,1057647.0,3473928.0,1831472.0,1035599.0,216747.0,322751.0,1
76,2004,7893957.0,620282.0,3460158.0,3813517.0,7896438.0,4061388.0,2357707.0,449882.0,739399.0,1
77,2004,1270790.0,191840.0,560584.0,518366.0,1241417.0,703730.0,400634.0,51163.0,64150.0,1
