DATE,JTU6100TSR,annualTSED
4/1/20,8.6,3.67
5/1/20,3.1,3.64
6/1/20,4.1,3.61
7/1/20,3.4,3.59
8/1/20,3.4,3.52
9/1/20,1.8,3.48
10/1/20,1.6,3.45
11/1/20,1.6,3.47
12/1/20,2.4,3.53
1/1/21,1.3,3.46
2/1/21,1.2,3.43
3/1/21,1.1,2.80
4/1/21,1.9,2.24
5/1/21,2.3,2.18
6/1/21,3.3,2.11
7/1/21,2.7,2.05
8/1/21,3.5,2.06
9/1/21,2.7,2.13
10/1/21,1.8,2.15
